Female,Male
F_01F,M_17M
F_01F,M_29MJ
F_02F,M_38MJ
F_02F,M_39M
F_04F,M_10MN
F_04F,M_11M
F_05F,M_10MN
F_05F,M_12M
F_08F,M_23MJ
F_08F,M_28M
F_10F,M_19M
F_10F,M_02M
F_11F,M_55M
F_11F,M_61MJ
F_12F,M_13M
F_12F,M_36MJ
F_13F,M_18M
F_13F,M_35MJ
F_15F,M_40M
F_15F,M_44M
F_16F,M_56MJ
F_16F,M_60M
F_18F,M_27MJ
F_18F,M_50MN
F_19F,M_45M
F_19F,M_47M
F_20FN,M_65M
F_20FN,M_68MJ
F_21F,M_45M
F_21F,M_47M
F_22F,M_57MJ
F_23F,M_59MJ
F_23F,M_05MJ
F_24F,M_15MJ
F_24F,M_49M
F_25F,M_31MJ
F_25F,M_52M
F_28F,M_76M
F_28F,M_78MJ
F_29F,M_51M
F_29F,M_08MJ
F_30FN,M_65M
F_30FN,M_68MJ
F_31F,M_58MJ
F_31F,M_69M
F_33F,M_64MJ
F_33F,M_71MJ
F_34F,M_42MJ
F_34F,M_62MJ
F_35F,M_42MJ
F_35F,M_62MJ
F_36F,M_48MJ
F_36F,M_67MJ
F_37F,M_63MJ
F_37F,M_66MJ
F_38F,M_58MJ
F_38F,M_69M
F_39FN,M_83M
F_39FN,M_86M
F_40F,M_77MJ
F_40F,M_82M
F_41F,M_75M
F_41F,M_92MJ
F_42F,M_72MJ
F_42F,M_85M
F_43FN,M_74MJ
F_43FN,M_88M
F_44FN,M_79M
F_44FN,M_84M
F_45F,M_90M
F_45F,M_91M
F_46F,M_80M
F_46F,M_87M
F_47FN,M_97MJ
F_47FN,M_98M
F_48F,M_96MJN
F_48F,M_99MN
F_49FN,M_108MJ
F_49FN,M_113M
F_50F,M_100M
F_50F,M_94MJ
F_51F,M_100M
F_51F,M_73MJ
F_53F,M_81MJ
F_53F,M_95M
F_54F,M_101MJ
F_54F,M_99MN
F_55FN,M_102MJ
F_55FN,M_104M
F_56F,M_106MJN
F_56F,M_93MJ
F_57F,M_115M
F_57F,M_116MJ
F_58FN,M_119MN
F_59FN,M_110MJ
F_59FN,M_111M
F_60F,M_103M
F_60F,M_105MJ
F_61F,M_107MN
F_61F,M_114MJ
F_62F,M_109MJ
F_62F,M_112M
F_63F,M_115M
F_63F,M_116MJ
F_64F,M_117MJ
F_64F,M_118MJ
F_69FN,M_115M
F_69FN,M_116MJ
F_70F,M_117MJ
F_70F,M_118MJ
F_71FN,M_119MN
F_7FN,M_01M
F_7FN,M_06M
