Female,Male
F_01F,M_14MJ
F_01F,M_21MJ
F_02F,M_46M
F_02F,M_41MJ
F_04F,M_15M
F_04F,M_17MJ
F_05F,M_06M
F_05F,M_08MJ
F_06F,M_09MJ
F_06F,M_27M
F_07F,M_26MJ
F_07F,M_28MNJ
F_09F,M_22MN
F_09F,M_25MJ
F_10FN,M_20MJ
F_10FN,M_36MN
F_11F,M_23MJ
F_11F,M_35M
F_12FN,M_31MJ
F_12FN,M_32M
F_13F,M_34M
F_13F,M_29MJ
F_14F,M_34M
F_14F,M_29MJ
F_15F,M_40M
F_15F,M_38MJ
F_16F,M_43M
F_16F,M_44MJ
F_18F,M_48M
F_18F,M_49M
F_19F,M_39M
F_19F,M_30MJ
F_20F,M_24M
F_21F,M_39M
F_21F,M_30MJ
F_22F,M_18MJ
F_22F,M_33M
F_23F,M_45MN
F_23F,M_46M
F_24F,M_40M
F_24F,M_44MJ
F_26FN,M_43M
F_26FN,M_37MJ
F_27FN,M_42M
F_27FN,M_46M
F_28FN,M_49M
F_28FN,M_50MJN
F_29FN,M_41MJ
F_29FN,M_42M
F_30F,M_42M
F_30F,M_46M
F_31F,M_45MN
F_31F,M_42M
F_32F,M_47M
F_33F,M_52M
F_33F,M_54M
F_34FN,M_48M
F_34FN,M_50MJN
F_38F,M_51M
F_38F,M_53MN
F_39F,M_52M
F_39F,M_54M
F_40F,M_53MN
F_45F,M_52M
F_45F,M_54M
F_48F,M_51M
F_48F,M_53MN
F_53F,M_56M
F_53F,M_58M
F_54FN,M_56M
F_54FN,M_57M
F_56F,M_57M
F_56F,M_58M
F_58F,M_57M
F_58F,M_58M
